[2025-09-28 13:52:10] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-28 13:52:17] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:49:28] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:49:28] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:49:29] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:50:07] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:51:10] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:51:29] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:51:33] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:51:38] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:51:50] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:52:18] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:53:25] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-09-29 00:54:33] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
