[2025-08-10 21:49:19] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 21:49:20] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 21:49:39] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 22:58:55] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 22:59:20] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 22:59:41] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 22:59:53] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:00:06] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:00:27] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:00:34] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:00:40] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:00:53] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:01:09] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:01:15] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:11:32] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:12:09] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:16:16] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:17:29] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:17:49] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:30:55] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:37:49] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:37:58] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:49:20] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:49:22] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:50:17] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:50:21] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:50:53] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-10 23:56:43] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
[2025-08-11 00:01:13] ERROR [Controllers\AbstractController:26] GeminiLabs\SiteReviews\Controllers\EditorController::filterIsProtectedMeta(): Argument #2 ($metaKey) must be of type string, null given
